uf,setor,mes_ano,admissoes,desligamentos,saldo,salario_medio,massa_salarial
SP,Indústria de Transformação,2023-01,15943,15157,786,3456.23,53744376.5
SP,Indústria de Transformação,2023-02,19944,16569,3375,3328.69,60770228.98
SP,Indústria de Transformação,2023-03,18545,17932,613,3576.25,65225435.62
SP,Indústria de Transformação,2023-04,18258,18607,-349,3569.51,65794993.08
SP,Indústria de Transformação,2023-05,19355,18889,466,3336.05,63791948.1
SP,Indústria de Transformação,2023-06,18616,15511,3105,3591.01,61275199.14
SP,Indústria de Transformação,2023-07,17728,18515,-787,3532.85,64020541.27
SP,Indústria de Transformação,2023-08,18968,16370,2598,3341.17,59035132.73
SP,Indústria de Transformação,2023-09,20591,22213,-1622,3585.87,76744789.74
SP,Indústria de Transformação,2023-10,20698,19747,951,3263.73,66000779.92
SP,Indústria de Transformação,2023-11,17138,16576,562,3359.12,56624685.84
SP,Indústria de Transformação,2023-12,17770,18888,-1118,3541.16,64905921.64
SP,Indústria de Transformação,2024-01,18418,14871,3547,3544.2,58991436.9
SP,Indústria de Transformação,2024-02,17263,15997,1266,3406.26,56646103.8
SP,Indústria de Transformação,2024-03,18462,17530,932,3281.47,59053334.12
SP,Indústria de Transformação,2024-04,18034,18485,-451,3495.27,63821882.56
SP,Indústria de Transformação,2024-05,17951,19297,-1346,3344.32,62284615.68
SP,Indústria de Transformação,2024-06,17567,18934,-1367,3441.8,62814570.9
SP,Indústria de Transformação,2024-07,18097,14615,3482,3329.24,54453049.44
SP,Indústria de Transformação,2024-08,15996,13031,2965,3541.46,51398979.71
SP,Indústria de Transformação,2024-09,20088,16688,3400,3505.06,64451043.28
SP,Indústria de Transformação,2024-10,17838,16850,988,3331.19,57776159.36
SP,Indústria de Transformação,2024-11,20083,56232,-36149,3431.9,35624837.95
SP,Indústria de Transformação,2024-12,17834,19240,-1406,3666.35,67963129.95
SP,Extrativa Mineral,2023-01,3649,3532,117,6429.82,23086268.71
SP,Extrativa Mineral,2023-02,3392,3527,-135,6294.53,21775926.54
SP,Extrativa Mineral,2023-03,3577,3810,-233,6239.05,23043931.18
SP,Extrativa Mineral,2023-04,3377,2974,403,5916.69,18788449.09
SP,Extrativa Mineral,2023-05,3768,3689,79,6259.33,23337911.91
SP,Extrativa Mineral,2023-06,3624,3431,193,6632.74,23396990.35
SP,Extrativa Mineral,2023-07,3340,3158,182,6302.08,20475457.92
SP,Extrativa Mineral,2023-08,3952,4119,-167,6339.62,25583536.51
SP,Extrativa Mineral,2023-09,4039,4238,-199,6145.23,25432034.35
